Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,10.930000,10.970000,10.680000,10.700000,8.821008,10935600
2012-01-04,10.710000,10.760000,10.610000,10.760000,8.870470,10571600
2012-01-05,10.720000,10.840000,10.640000,10.830000,8.928177,13992700
2012-01-06,10.850000,11.030000,10.730000,11.010000,9.076567,16178200
2012-01-09,11.080000,11.370000,11.020000,11.340000,9.348620,22287700
2012-01-10,11.470000,11.710000,11.440000,11.600000,9.562963,25222500
2012-01-11,11.600000,11.880000,11.540000,11.710000,9.653644,14683200
2012-01-12,11.810000,11.850000,11.630000,11.800000,9.727837,12567800
2012-01-13,11.750000,11.770000,11.450000,11.500000,9.480521,14415800
2012-01-17,11.800000,11.910000,11.730000,11.780000,9.711352,23935200
2012-01-18,11.890000,12.180000,11.840000,12.120000,9.991647,20271300
2012-01-19,12.190000,12.420000,12.150000,12.310000,10.148280,15466900
2012-01-20,12.390000,12.550000,12.310000,12.470000,10.280184,19713500
2012-01-23,12.430000,12.470000,12.120000,12.220000,10.074088,18802500
2012-01-24,12.220000,12.410000,12.120000,12.310000,10.148280,8317700
2012-01-25,12.320000,12.440000,12.180000,12.360000,10.189500,10739400
2012-01-26,12.430000,12.640000,12.290000,12.400000,10.222477,14769800
2012-01-27,12.400000,12.520000,12.180000,12.230000,10.082330,18987000
2012-01-30,12.090000,12.150000,11.980000,12.060000,9.942182,15915900
2012-01-31,12.180000,12.340000,12.110000,12.280000,10.123547,15032300
2012-02-01,12.440000,12.660000,12.350000,12.570000,10.362621,14686300
2012-02-02,12.550000,12.760000,12.550000,12.640000,10.420330,11213100
2012-02-03,12.810000,12.890000,12.710000,12.790000,10.543989,11047500
2012-02-06,12.740000,12.750000,12.450000,12.610000,10.395597,14348600
2012-02-07,12.630000,12.800000,12.550000,12.740000,10.502769,8784200
2012-02-08,12.710000,13.090000,12.710000,13.000000,10.717112,17888500
2012-02-09,13.000000,13.130000,12.920000,13.110000,10.807796,11423100
2012-02-10,12.970000,13.110000,12.870000,12.950000,10.675891,10442200
2012-02-13,13.040000,13.130000,12.800000,12.930000,10.659405,9921500
2012-02-14,12.950000,12.990000,12.690000,12.870000,10.609940,14889400
2012-02-15,12.890000,13.100000,12.840000,12.900000,10.634671,11299100
2012-02-16,12.940000,13.230000,12.930000,13.210000,10.890235,14152400
2012-02-17,13.860000,13.940000,12.970000,12.990000,10.708867,33947400
2012-02-21,13.010000,13.020000,12.600000,12.710000,10.542968,21443600
2012-02-22,12.700000,12.940000,12.700000,12.900000,10.700572,22623800
2012-02-23,12.890000,12.920000,12.520000,12.740000,10.567851,17934100
2012-02-24,12.730000,12.830000,12.600000,12.630000,10.476604,10255800
2012-02-27,12.550000,12.720000,12.480000,12.530000,10.393656,15746300
2012-02-28,12.510000,12.730000,12.480000,12.560000,10.418541,15675900
2012-02-29,12.540000,12.560000,12.210000,12.250000,10.161396,22131000
2012-03-01,12.300000,12.370000,12.160000,12.240000,10.153102,15312000
2012-03-02,12.220000,12.400000,12.130000,12.220000,10.136510,21939400
2012-03-05,12.150000,12.180000,11.920000,12.030000,9.978905,18739500
2012-03-06,11.930000,12.200000,11.930000,12.010000,9.962317,19251600
2012-03-07,12.030000,12.220000,12.020000,12.100000,10.036971,14878600
2012-03-08,12.190000,12.290000,12.080000,12.190000,10.111628,15581100
2012-03-09,12.180000,12.410000,12.100000,12.370000,10.260937,10748200
2012-03-12,12.360000,12.420000,12.230000,12.380000,10.269233,10280600
