Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,6.640000,6.960000,6.590000,6.760000,6.665595,42035300
2012-01-04,6.700000,7.050000,6.600000,6.990000,6.892383,43038500
2012-01-05,6.960000,7.330000,6.900000,7.160000,7.060009,53469800
2012-01-06,7.170000,7.320000,7.050000,7.200000,7.099450,33006500
2012-01-09,7.230000,7.340000,7.120000,7.290000,7.188193,28692200
2012-01-10,7.400000,7.440000,7.210000,7.250000,7.148752,26672800
2012-01-11,7.270000,7.290000,7.140000,7.220000,7.119170,20210400
2012-01-12,7.220000,7.320000,7.120000,7.270000,7.168472,30026700
2012-01-13,7.220000,7.290000,7.090000,7.230000,7.129031,29225000
2012-01-17,7.300000,7.380000,7.140000,7.160000,7.060009,30684100
2012-01-18,7.250000,7.750000,7.210000,7.650000,7.543166,48911100
2012-01-19,7.730000,7.940000,7.680000,7.880000,7.769954,43923400
2012-01-20,7.830000,7.980000,7.680000,7.760000,7.651630,38677500
2012-01-23,7.790000,8.060000,7.770000,7.870000,7.760093,33180100
2012-01-24,7.850000,7.970000,7.770000,7.950000,7.838976,29248700
2012-01-25,8.000000,8.040000,7.790000,7.860000,7.750233,30951100
2012-01-26,7.770000,7.800000,7.450000,7.550000,7.444563,42242300
2012-01-27,7.470000,7.620000,7.340000,7.430000,7.326238,29119800
2012-01-30,7.340000,7.590000,7.290000,7.560000,7.454422,21759000
2012-01-31,7.600000,7.680000,7.520000,7.600000,7.493865,21798900
2012-02-01,7.740000,7.840000,7.600000,7.700000,7.592467,26899200
2012-02-02,7.730000,7.810000,7.680000,7.720000,7.612188,20660800
2012-02-03,7.880000,7.970000,7.740000,7.950000,7.838976,15179500
2012-02-06,7.700000,7.880000,7.680000,7.730000,7.622049,32638600
2012-02-07,7.730000,7.920000,7.700000,7.880000,7.769954,20245400
2012-02-08,7.940000,8.230000,7.890000,8.170000,8.055904,42113700
2012-02-09,8.200000,8.200000,7.990000,8.160000,8.046042,27434500
