Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,13.950000,14.030000,13.730000,13.750000,12.779183,4792900
2012-01-04,13.660000,14.310000,13.530000,14.180000,13.178825,5365000
2012-01-05,14.080000,14.660000,13.990000,14.620000,13.587757,6030700
2012-01-06,14.600000,14.780000,14.490000,14.630000,13.597054,3583900
2012-01-09,14.680000,14.990000,14.540000,14.890000,13.838696,5594200
2012-01-10,15.090000,15.150000,14.920000,15.040000,13.978107,5715600
2012-01-11,14.960000,15.220000,14.950000,15.110000,14.043159,3375700
2012-01-12,15.220000,15.250000,14.910000,15.070000,14.005985,4814600
2012-01-13,14.920000,14.980000,14.720000,14.840000,13.792224,3015900
2012-01-17,14.910000,15.220000,14.860000,15.170000,14.098926,4370500
2012-01-18,15.200000,15.970000,15.080000,15.770000,14.656564,7104800
2012-01-19,15.750000,16.150000,15.690000,16.120001,14.981849,5559600
2012-01-20,16.040001,16.170000,15.980000,16.139999,15.000439,4378800
2012-01-23,16.129999,16.240000,15.930000,16.100000,14.963264,6302800
2012-01-24,15.980000,16.490000,15.980000,16.299999,15.149137,7087700
2012-01-25,16.290001,16.330000,16.030001,16.129999,14.991142,7331400
2012-01-26,17.250000,17.500000,16.290001,16.410000,15.251376,14683500
2012-01-27,16.440001,17.000000,16.389999,16.950001,15.753255,6306500
2012-01-30,16.700001,16.700001,16.260000,16.510000,15.344314,6496600
2012-01-31,16.549999,16.770000,16.250000,16.350000,15.195612,3582600
2012-02-01,16.530001,16.840000,16.500000,16.520000,15.353611,5385300
2012-02-02,16.620001,16.950001,16.620001,16.780001,15.595253,4427100
2012-02-03,17.040001,17.129999,16.850000,17.030001,15.827602,3531100
2012-02-06,16.830000,16.870001,16.590000,16.680000,15.502314,3253900
2012-02-07,16.580000,16.680000,16.450001,16.600000,15.427962,4239200
2012-02-08,16.590000,17.000000,16.580000,16.780001,15.595253,3812700
2012-02-09,16.830000,16.940001,16.730000,16.780001,15.595253,2607600
2012-02-10,16.670000,16.740000,16.440001,16.500000,15.335016,2458000
2012-02-13,16.690001,16.780001,16.309999,16.480000,15.316433,2638700
2012-02-14,16.420000,16.830000,16.379999,16.799999,15.613840,4254800
2012-02-15,16.900000,17.030001,16.719999,16.799999,15.613840,4692600
2012-02-16,16.820000,17.459999,16.790001,17.299999,16.078541,5285000
2012-02-17,17.400000,17.490000,17.000000,17.010000,15.809012,3323600
2012-02-21,17.040001,17.040001,16.410000,16.540001,15.372194,3299500
2012-02-22,16.440001,16.580000,16.150000,16.230000,15.084090,3946800
2012-02-23,16.219999,16.620001,16.020000,16.580000,15.409374,3166600
2012-02-24,16.590000,16.650000,16.309999,16.379999,15.223490,1545700
2012-02-27,16.190001,16.780001,16.139999,16.530001,15.362903,2845000
2012-02-28,16.570000,16.990000,16.500000,16.790001,15.604545,2508500
2012-02-29,16.799999,16.820000,16.290001,16.420000,15.260669,2734000
2012-03-01,16.510000,16.610001,16.240000,16.320000,15.167728,1936300
2012-03-02,16.320000,16.480000,16.010000,16.110001,14.972559,3430400
2012-03-05,16.110001,16.150000,15.210000,15.310000,14.229040,6580000
2012-03-06,15.070000,15.250000,15.060000,15.140000,14.071043,4628200
2012-03-07,15.270000,15.750000,15.230000,15.740000,14.628682,4575400
2012-03-08,15.910000,16.080000,15.850000,15.900000,14.777384,3861600
2012-03-09,15.880000,16.260000,15.780000,16.209999,15.065495,2335700
2012-03-12,16.260000,16.260000,15.920000,16.110001,14.972559,2023400
2012-03-13,16.170000,16.650000,16.120001,16.639999,15.465133,3981000
2012-03-14,16.639999,16.770000,16.420000,16.480000,15.316433,2069500
2012-03-15,16.600000,16.900000,16.570000,16.840000,15.651013,3644100
2012-03-16,16.860001,17.139999,16.750000,17.049999,15.846186,4283100
2012-03-19,16.950001,17.150000,16.790001,17.040001,15.836896,1990400
2012-03-20,16.860001,16.959999,16.650000,16.830000,15.641724,2054500
2012-03-21,16.850000,17.030001,16.820000,16.870001,15.678901,2140700
2012-03-22,16.750000,16.879999,16.510000,16.740000,15.558074,2507500
2012-03-23,16.700001,16.850000,16.530001,16.820000,15.632429,1277300
2012-03-26,17.020000,17.320000,16.969999,17.180000,15.967012,2586200
2012-03-27,17.170000,17.389999,17.160000,17.240000,16.022776,2848100
2012-03-28,17.180000,17.190001,16.680000,16.760000,15.576663,2568900
2012-03-29,16.620001,16.790001,16.430000,16.740000,15.558074,2248300
2012-03-30,16.860001,16.900000,16.530001,16.889999,15.697480,2523700
2012-04-02,16.790001,17.049999,16.510000,17.020000,15.818309,2095600
2012-04-03,16.910000,16.990000,16.620001,16.660000,15.483726,1878200
2012-04-04,16.459999,16.500000,16.100000,16.170000,15.028323,3917600
2012-04-05,16.080000,16.430000,15.940000,16.420000,15.260669,4112000
2012-04-09,16.049999,16.100000,15.850000,16.080000,14.944676,2443300
2012-04-10,16.010000,16.139999,15.670000,15.670000,14.563622,2949000
2012-04-11,15.880000,16.180000,15.800000,16.110001,14.972559,2720300
2012-04-12,16.200001,16.790001,16.110001,16.780001,15.595253,2493600
2012-04-13,16.670000,16.780001,16.290001,16.290001,15.139852,1374600
2012-04-16,16.490000,16.540001,16.129999,16.290001,15.139852,3077100
2012-04-17,16.410000,16.860001,16.400000,16.830000,15.641724,2411400
2012-04-18,16.680000,16.840000,16.570000,16.740000,15.558074,2257400
2012-04-19,16.719999,17.020000,16.450001,16.570000,15.400079,2333000
2012-04-20,16.650000,16.719999,16.299999,16.299999,15.149137,2788700
2012-04-23,16.049999,16.200001,15.870000,16.139999,15.000439,1885100
2012-04-24,16.209999,16.270000,16.030001,16.030001,14.898209,2647000
2012-04-25,16.389999,16.940001,16.389999,16.830000,15.641724,5520300
2012-04-26,17.570000,18.010000,17.100000,17.200001,15.985601,11012200
2012-04-27,17.299999,17.540001,17.070000,17.389999,16.162186,3848800
2012-04-30,17.400000,17.450001,17.170000,17.209999,15.994890,2055900
2012-05-01,17.049999,17.459999,16.940001,17.209999,15.994890,4425000
2012-05-02,17.110001,17.170000,16.870001,17.059999,15.855479,2353100
2012-05-03,17.020000,17.160000,16.540001,16.549999,15.381493,1924700
2012-05-04,16.410000,16.510000,15.920000,16.129999,14.991142,3433600
2012-05-07,16.049999,16.139999,15.930000,16.030001,14.898209,1916900
2012-05-08,15.870000,15.870000,15.310000,15.820000,14.703032,3545500
2012-05-09,15.550000,15.810000,15.370000,15.670000,14.563622,2349200
2012-05-10,15.830000,15.880000,15.470000,15.620000,14.517153,2669100
2012-05-11,15.490000,16.070000,15.470000,15.710000,14.600799,2829000
2012-05-14,15.470000,15.740000,15.330000,15.600000,14.498564,2127300
2012-05-15,15.570000,15.790000,15.360000,15.420000,14.331276,3195800
2012-05-16,15.450000,15.550000,15.010000,15.020000,13.959515,3232000
2012-05-17,15.030000,15.140000,14.590000,14.590000,13.559877,2099800
2012-05-18,14.620000,14.730000,14.260000,14.320000,13.308937,3459700
2012-05-21,14.380000,14.800000,14.350000,14.640000,13.606347,2855300
2012-05-22,14.670000,14.760000,14.490000,14.590000,13.559877,2207600
2012-05-23,14.990000,15.050000,14.480000,14.990000,13.931636,5600000
